Rank,Percentage,Month and Year
Iron 1,0.50,November 2022
Iron 2,1.80,November 2022
Iron 3,4.50,November 2022
Bronze 1,4.90,November 2022
Bronze 2,6.00,November 2022
Bronze 3,6.10,November 2022
Silver 1,7.50,November 2022
Silver 2,7.10,November 2022
Silver 3,7.30,November 2022
Gold 1,7.60,November 2022
Gold 2,6.80,November 2022
Gold 3,6.40,November 2022
Platinum 1,6.40,November 2022
Platinum 2,5.30,November 2022
Platinum 3,4.60,November 2022
Diamond 1,4.40,November 2022
Diamond 2,3.40,November 2022
Diamond 3,2.80,November 2022
Ascendant 1,2.30,November 2022
Ascendant 2,1.50,November 2022
Ascendant 3,1.10,November 2022
Immortal 1,0.90,November 2022
Immortal 2,0.20,November 2022
Immortal 3,0.10,November 2022
Radiant,0.03,November 2022
Iron 1,0.50,October 2022
Iron 2,1.70,October 2022
Iron 3,4.70,October 2022
Bronze 1,4.90,October 2022
Bronze 2,6.40,October 2022
Bronze 3,6.40,October 2022
Silver 1,8.00,October 2022
Silver 2,7.20,October 2022
Silver 3,7.40,October 2022
Gold 1,7.70,October 2022
Gold 2,6.90,October 2022
Gold 3,6.50,October 2022
Platinum 1,6.50,October 2022
Platinum 2,5.20,October 2022
Platinum 3,4.60,October 2022
Diamond 1,4.30,October 2022
Diamond 2,3.20,October 2022
Diamond 3,2.50,October 2022
Ascendant 1,2.00,October 2022
Ascendant 2,1.30,October 2022
Ascendant 3,0.90,October 2022
Immortal 1,0.60,October 2022
Immortal 2,0.20,October 2022
Immortal 3,0.10,October 2022
Radiant,0.03,October 2022
Iron 1,0.40,September 2022
Iron 2,1.60,September 2022
Iron 3,4.30,September 2022
Bronze 1,4.80,September 2022
Bronze 2,6.30,September 2022
Bronze 3,6.40,September 2022
Silver 1,8.00,September 2022
Silver 2,7.40,September 2022
Silver 3,7.50,September 2022
Gold 1,7.70,September 2022
Gold 2,6.90,September 2022
Gold 3,6.50,September 2022
Platinum 1,6.40,September 2022
Platinum 2,5.20,September 2022
Platinum 3,4.60,September 2022
Diamond 1,4.30,September 2022
Diamond 2,3.30,September 2022
Diamond 3,2.50,September 2022
Ascendant 1,2.10,September 2022
Ascendant 2,1.30,September 2022
Ascendant 3,0.90,September 2022
Immortal 1,0.70,September 2022
Immortal 2,0.20,September 2022
Immortal 3,0.10,September 2022
Radiant,0.03,September 2022
Iron 1,0.40,August 2022
Iron 2,1.50,August 2022
Iron 3,5.20,August 2022
Bronze 1,5.10,August 2022
Bronze 2,7.50,August 2022
Bronze 3,7.10,August 2022
Silver 1,9.30,August 2022
Silver 2,7.70,August 2022
Silver 3,7.60,August 2022
Gold 1,7.60,August 2022
Gold 2,6.80,August 2022
Gold 3,6.30,August 2022
Platinum 1,6.00,August 2022
Platinum 2,4.90,August 2022
Platinum 3,4.30,August 2022
Diamond 1,4.00,August 2022
Diamond 2,2.80,August 2022
Diamond 3,2.00,August 2022
Ascendant 1,1.60,August 2022
Ascendant 2,1.00,August 2022
Ascendant 3,0.60,August 2022
Immortal 1,0.40,August 2022
Immortal 2,0.20,August 2022
Immortal 3,0.10,August 2022
Radiant,0.03,August 2022
Iron 1,0.30,July 2022
Iron 2,1.20,July 2022
Iron 3,5.10,July 2022
Bronze 1,5,July 2022
Bronze 2,8.20,July 2022
Bronze 3,7.70,July 2022
Silver 1,10.50,July 2022
Silver 2,8.10,July 2022
Silver 3,7.70,July 2022
Gold 1,7.40,July 2022
Gold 2,6.70,July 2022
Gold 3,6.10,July 2022
Platinum 1,5.60,July 2022
Platinum 2,4.60,July 2022
Platinum 3,4.20,July 2022
Diamond 1,3.70,July 2022
Diamond 2,2.60,July 2022
Diamond 3,1.80,July 2022
Ascendant 1,1.40,July 2022
Ascendant 2,0.90,July 2022
Ascendant 3,0.50,July 2022
Immortal 1,0.30,July 2022
Immortal 2,0.10,July 2022
Immortal 3,0.10,July 2022
Radiant,0.02,July 2022